Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1736        7    23777    99.6%          181      64660  (25520 23777 23690 23683)
    2596        0     5083   100.0%          181      64684  (7679 5083 5032 5033)
    1646        1    14886    99.9%          181      64742  (16533 14886 14831 14830)
    1868        5    40073    99.7%          181      64901  (41946 40073 39924 39919)
    1756        6    25233    99.7%          181      65002  (26995 25233 25139 25133)
    2697        0    16824   100.0%          181      65070  (19521 16824 16728 16743)
    1572        0     7954   100.0%          181      65101  (9526 7954 7923 7923)
    1900        8    42386    99.6%          181      65265  (44294 42386 42231 42223)
    2596        5    29201    99.8%          181      65384  (31802 29201 29092 29087)
    1694        3    16651    99.8%          181      65450  (18348 16651 16587 16584)
    2558        0     1897   100.0%          181      65458  (4455 1897 1861 1862)
    1720        3    23350    99.8%          181      65550  (25073 23350 23264 23261)
    1918        8    41498    99.6%          181      65714  (43424 41498 41349 41341)
    1748        9    24503    99.5%          181      65812  (26260 24503 24415 24406)
    2602        0     6712   100.0%          181      65842  (9314 6712 6646 6651)
    1723        2    23100    99.9%          181      65932  (24825 23100 23016 23014)
